,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
ampl total power alpha,FT8,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
ampl total power beta,FT8,NS,NS,NS,P2,NS,NS,NS,NS,NS,NS,NS
ampl total power delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
ampl total power gamma,POz,T8,NS,NS,C4,NS,NS,NS,C2,NS,NS,NS
ampl total power theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
approx entropy,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-icoh alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-icoh beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-icoh delta,NS,NS,NS,CP5,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-icoh gamma,NS,NS,NS,NS,NS,NS,FC1,NS,NS,NS,NS,NS
betw cen e-icoh theta,NS,F5,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-plv alpha,NS,NS,NS,C5,NS,NS,NS,NS,NS,FC2,NS,NS
betw cen e-plv beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,C3,NS
betw cen e-plv delta,NS,Fp1,NS,NS,NS,NS,NS,NS,Pz,Pz,NS,Fp1
betw cen e-plv gamma,NS,NS,Fz,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-plv theta,NS,NS,C6,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-wpli alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-wpli beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-wpli delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen e-wpli gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,AFz,NS,NS
betw cen e-wpli theta,NS,NS,NS,FT8,NS,NS,NS,NS,NS,NS,NS,F5
betw cen s-lcoh alpha,NS,NS,NS,NS,RPostcentralGyrus,NS,NS,NS,NS,LHeschlGyrus,NS,NS
betw cen s-lcoh beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lcoh delta,NS,NS,NS,NS,RSuperiorFrontalGyrus,NS,NS,NS,NS,NS,NS,NS
betw cen s-lcoh gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lcoh theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,RAngularGyrus,NS,NS
betw cen s-lps alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lps beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lps delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lps gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
betw cen s-lps theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-icoh theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,O1,NS
clust coef e-plv alpha,NS,NS,NS,NS,NS,NS,AF8,NS,NS,C1,NS,NS
clust coef e-plv beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,F5,NS
clust coef e-plv delta,NS,NS,NS,NS,NS,NS,NS,F1,FC1,NS,F2,NS
clust coef e-plv gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-plv theta,NS,NS,NS,NS,NS,NS,NS,FT7,NS,Cz,F2,NS
clust coef e-wpli alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-wpli beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-wpli delta,NS,NS,NS,NS,NS,NS,NS,P7,NS,NS,NS,NS
clust coef e-wpli gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef e-wpli theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,O1,NS
clust coef s-lcoh alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,LInsula,NS,NS
clust coef s-lcoh beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef s-lcoh delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef s-lcoh gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef s-lcoh theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef s-lps alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef s-lps beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef s-lps delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef s-lps gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
clust coef s-lps theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
correlation dimension,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
dfa exponent alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
dfa exponent beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
dfa exponent delta,NS,NS,NS,FT8,NS,NS,NS,NS,NS,NS,NS,CP5
dfa exponent gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
dfa exponent theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
higuchi fractal dim,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
hjorth activity,FT8,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
hjorth complexity,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
hjorth mobility,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
katz fractal dim,F6,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
kurtosis ampl alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
